Descripcion;Funcionario;Cargo;Organismo;Fecha;Valor_estimado;Destino;Entregado_por
Obsequio de Cortesía: Set botella y vasos de cristal - Alejandro Rollé.;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-11-22;Inferior a 4 módulos.;;Rollé Alejandro
Obsequio de Cortesía: Cuadro - Servicio Penitenciario Federal;Bullrich Patricia;MINISTRA;MINISTERIO DE SEGURIDAD;2024-11-22;Inferior a 4 módulos.;;Servicio Penitenciario Federal
"Un (1) libro: ""Volver a ser grandes""";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-11-07;Inferior a 4 módulos.;Casa de Gobierno;Dominguez Federico
Una (1) Letra de canción dedicada al Pte. Javier Milei;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-11-06;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Storaccio Fernando Sergio
Una (1) Estatuilla conmemorativa por el 203° Aniversario;Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-11-01;Inferior a 4 módulos.;Casa de Gobierno;Argentina Policia Federal
Placa;Francos Guillermo Alberto;Jefe de Gabinete de Ministros;Jefatura de Gabinete de Ministros;2024-08-19;Inferior a 4 módulos.;;Asociación sin fines de lucro
Libro Universidad Católica de Santa Fe - Pasado presente y Futuro;Francos Guillermo Alberto;Jefe de Gabinete de Ministros;Jefatura de Gabinete de Ministros;2024-10-03;Inferior a 4 módulos.;;Universidad
Caja azul con lapicera;Francos Guillermo Alberto;Jefe de Gabinete de Ministros;Jefatura de Gabinete de Ministros;2024-09-23;Inferior a 4 módulos.;;Embajada de Arabia Saudita en Argentina
"Un (1) libro: ""La Argentina en un nuevo mundo""";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-31;Inferior a 4 módulos.;Residencia Presidencial de Olivos;la Balze Felipe de
"Un (1) libro: ""La Argentina en un nuevo mundo""";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-10-31;Inferior a 4 módulos.;Casa de Gobierno;la Balze Felipe de
"Un (1) libro anillado: ""Utopías, utopías, utopías y por que no?";Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-31;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Tarracini Manuel
"Un (1) libro anillado: ""Utopías, utopías, utopías y por que no?";Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-10-31;Inferior a 4 módulos.;Casa de Gobierno;Tarracini Manuel
Un (1) Traje de baño masculino;Milei Javier Gerardo;Presidente de la Nación;Presidencia de la Nación;2024-10-30;Inferior a 4 módulos.;Residencia Presidencial de Olivos;Sport Meolans
Una (1) Traje de baño femenino;Milei Karina Elizabeth;Secretaria Gral de Presidencia;Secretaría General;2024-10-30;Inferior a 4 módulos.;Casa de Gobierno;Sport Meolans
