evento;destino;funcionario;cargo;organismo;financiado_por;fecha_inicio;fecha_fin
"VII Encuentro de egresados de la Universidad de Bolonia, Italia, en Latinoamérica ""La Constitución Argentina a 30 años de su reforma"".";ARGENTINA;BARRA Rodolfo Carlos;Procurador del Tesoro de la Nación;Procuración del Tesoro de la Nación;Instituto para el Desarrollo Constitucional (IDC) - Asociación Civil;2024-11-21;2024-11-22
Reuniones de la Secretaría de Hacienda de la Nación con BID y Banco Mundial;ESTADOS UNIDOS;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco Mundial;2024-11-12;2024-11-16
Comisión General y 197a Reunión del Directorio Ejecutivo de FONPLATA;BRASIL;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco de Desarrollo FONPLATA;2024-11-17;2024-11-19
Diálogo Político de Alto Nivel sobre Conectividad e Inclusión de la Alianza Digital UE-ALC;CHILE;BRUNELLI DIEGO MARTIN;ASESOR DE LA INTERVENCIÓN;Ente Nacional de Comunicaciones;UNIÓN EUROPEA;2024-11-04;2024-11-07
75º Aniversario de los Convenios de Ginebra de 1949 y reunión de preparación para la XXXIV Conferencia Internacional de la Cruz Roja y Media Luna Roja;MÉXICO;Vilas Paula;Consejera;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;Comité Internacional de la Cruz Roja;2024-07-03;2024-07-06
Technical Meeting on Decision-Making for Sustaining Operational Excellence in Nuclear Power Plant Operating Organizations, Evento EVT2303089 del OIEA;AUSTRIA;Hosid Ariel Martin;Ingeniero Nuclear;Jefatura de Gabinete de Ministros;Organismo Internacional de Energía Atómica (OIEA);2024-11-03;2024-11-13
Reunión del Comité de Gestión del Consejo Consultivo y Ejecutivo de la UPAEP y sesiones del Consejo de Administración y del Consejo de Explotación Postal de la UPU;SUIZA;GRAPSAS MARIA AGUSTINA;ASESORA DE LA INTERVENCIÓN;Dirección General de Asuntos Jurídicos y Regulatorios;UNIÓN POSTAL DE LAS AMÉRICAS, ESPAÑA Y PORTUGAL;2024-10-29;2024-11-10
Fellowship Training in Operation of Cyclotrons for the Production of Radioisotopes;ITALIA;Rondon Brito David Enrique;Operador de ciclotrón;Comisión Nacional de Energía Atómica;ORGANISMO INTERNACIONAL DE ENERGIA ATOMICA;2024-10-12;2024-11-10
Capacitación en ciclotrón y radiofarmacia en el Hospital Sacro Cuore Don Calabria, Negrar di Valpolicella, Verona, Italia;ITALIA;Cuevas Dalmiro Conrado;Becario;Comisión Nacional de Energía Atómica;OIEA;2024-10-12;2024-11-10
Reunión Intersesional de la Junta Internacional sobre Normas de Competencia para Hidrógrafos y Cartógrafos Náuticos;GRECIA;Chomik Silvia Beatriz;Jefe de División Cartografía entrante;Servicio de Hidrografía Naval;Organización Hidrográfica Internacional;2024-11-09;2024-11-17
8° sesión intersesional del Grupo de Trabajo III de la CNUDMI sobre reforma del sistema de solución de controversias entre inversionistas y Estados;CHINA;CAGNONI EDUARDO ALBERTO;Consejero;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;CNUDMI;2024-10-21;2024-10-26
49° período de sesiones del Grupo de Trabajo III de la CNUDMI sobre reforma de Solución de Controversias entre Inversionistas y Estados (SCIE);AUSTRIA;CAGNONI EDUARDO ALBERTO;Consejero;Ministerio de Relaciones Exteriores, Comercio Internacional y Culto;Secretaría de la CNUDMI;2024-09-21;2024-09-28
Reunión Técnica sobre Evaluación y Cuantificación de Recursos de Uranio Pronosticados y Especulativos;BRASIL;Salvatore Marcos;JEFE DIVISION GEOLOGIA;Gerencia Exploración de Materias Primas;Organismo internacional de Energía Atómica;2024-11-02;2024-11-11
AIIB Annual Meeting 2024;UZBEKISTÁN;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco Asiático de Inversión en Infraestructura (AIIB);2024-09-22;2024-09-27
Comisión General y 196a Reunión del Directorio Ejecutivo de FONPLATA;PARAGUAY;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco de Desarrollo FONPLATA;2024-09-18;2024-09-20
CLXXXII Reunión del Directorio de CAF;PERÚ;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco de Desarrollo de América Latina y el Caribe (CAF);2024-07-17;2024-07-19
XXVII Reunión de la Asamblea de Gobernadores y eventos en el marco del Aniversario de FONPLATA 50 años;BOLIVIA;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco de Desarrollo FONPLATA;2024-06-10;2024-06-13
European Nowcasting and Weather Forecasting Conference;NORUEGA;Maldonado Paula Soledad;Investigador de Aplicación Científica con orientación en Modelado Numérico;Dirección Nacional de Ciencia e Innovación en Productos y Servicios;Oranizacion Meteorologica Mundial;2024-11-02;2024-11-10
Tour de Diplomacia Energética a Europa;BÉLGICA;Beljansky Mariela;Subsecretaria;MINISTERIO DE HACIENDA Y FINANZAS PÚBLICAS;Comisión Europea (EULGET);2024-11-02;2024-11-09
I Simposio Internacional en Geología, Minería y Metalurgia;ECUADOR;RODRIGUEZ María Lorena;Subgerente;Comisión Nacional de Energía Atómica;Instituto de Investigación Geológico y Energético mediante auspiciantes;2024-11-05;2024-11-10
I Simposio REPROLAM;BRASIL;Di Carlo Agustín;Técnico en calibraciones;Comisión Nacional de Energía Atómica;Organismo Internacional de Energía Atómica;2024-11-04;2024-11-09
CLXXXI Reunión del Directorio de CAF y Asambleas de Gobernadores del BID y la BID Invest;REPÚBLICA DOMINICANA;Mana Matías Javier;Subsecretario de Relaciones Financieras Internacionales;Ministerio de Economía;Banco de Desarrollo de América Latina y el Caribe (CAF);2024-03-06;2024-03-11
“Taller de Formación sobre los Avances en las Técnicas de Haces de Iones y sus Aplicaciones (Training Workshop on Advances in Ion Beam Techniques and their Applications)”;ESLOVENIA;GUARDA Tamara Ayelén;INVESTIGADORA;Comisión Nacional de Energía Atómica;AGENCIA INTERNACIONAL DE ENEGÍA ATÓMICA (IAEA);2024-10-18;2024-10-29
Technical Working Group Heavy Water Reactors;AUSTRIA;Ranalli Juan Manuel;Gerente de Área Energía Nuclear;Jefatura de Gabinete de Ministros;Organismo Internacional de Energía Atómica;2024-10-23;2024-11-04
DIALOGO REGIONAL DE POLITICA;MÉXICO;Avendaño Natalia;PRESIDENTE;Agencia Nacional de Promoción de la Investigación, el Desarrollo Tecnológico y la Innovación;BANCO INTERAMERICANO DE DESARROLLO;2024-11-10;2024-11-13
Semana de la Energía de OLADE;PARAGUAY;Beljansky Mariela;Subsecretaria;MINISTERIO DE HACIENDA Y FINANZAS PÚBLICAS;OLADE;2024-10-28;2024-10-31
REUNION DE EXPERTOS LEGALES;JAPÓN;DE SANTIS SOLLA LUCIANA PAULA;SUBPREFECTO;Ministerio de Seguridad;NACIONES UNIDAS;2024-04-03;2024-04-09
Simposio de radiaciones ionzantes y polimeros;BRASIL;borda brian marcelo matias;Investigador;Comisión Nacional de Energía Atómica;OIEA-CNEN;2024-10-26;2024-11-02
ASISTENCIA AL ACTO Y ALMUERZO DE CONFRATERNIDAD;ARGENTINA;COLLOMB Marcelo Oscar;PRESIDENTE;MINISTERIO DE CAPITAL HUMANO;Federeación Provincial de Mutualidades de Córdoba;2024-10-26;2024-10-27
IRaP 2024;BRASIL;Mazzei Andrade Mauro Gastón;Analista técnico;Gerencia de Área Producción de Radioisótopos y Aplicaciones de la Radiación;CNEN (Comissão Nacional de Energia Nuclear);2024-10-27;2024-11-03
15° SIMPOSIO INTERNACIONAL DE POLÍMEROS Y RADIACIÓN IONIZANTE (IRAP 2024);BRASIL;BUSTAMANTE PAOLA ANDREA;INVESTIGADOR;Gerencia de Área Producción de Radioisótopos y Aplicaciones de la Radiación;COMISSÃO NACIONAL DE ENERGIA NUCLEAR (CNEN);2024-10-27;2024-11-03
La Seguridad Social y los desafíos del futuro, la mejora de la gobernanza de las instituciones en iberoamérica;ESPAÑA;DE LOS HEROS BATTINI Mariano Antonio Salvador;Director Ejecutivo;Administración Nacional de Seguridad Social;Organización Iberoamericana de Seguridad Social (OISS);2024-10-26;2024-11-03
AeroMetSci-Conferencia Científica de Meteorología Aeronáutica 2024 and Task Team-LTP- Reunión de trabajo del grupo de tareas Plan a Largo Plazo de Meteorología Aeronáutica 2024;SUIZA;Ribero Claudia Yolanda;Especialista de Aplicación Científica en Dirección de Meteorología Aeronáutica;Servicio Meteorológico Nacional;Organización Meteorológica Mundial;2024-10-19;2024-11-01
5º Simposio Internacional sobre Radiación Ionizante y Polímeros, IRaP 2024.;BRASIL;Garrido Juan Ignacio;Investigador;Gerencia de Área Aplicaciones de la Tecnología Nuclear;Comisión Nacional de Energía Nuclear (CNEN, Brasil);2024-10-28;2024-11-01
IRAP (Simposio de Polimeros y Radiaciones ionizantes);BRASIL;Espantoso Matias Leonardo;Investigador;Administración Pública Nacional;CNEN;2024-10-28;2024-11-03
15º Simposio Internacional sobre Radiación Ionizante y Polímeros, IRaP 2024;BRASIL;Cingolani Maria Celeste;Investigador;Gerencia de Área Aplicaciones de la Tecnología Nuclear;Comisión Nacional de Energía Nuclear (CNEN, Brasil);2024-10-28;2024-11-01
Workshop en Procedimientos de Inspección SNRI en Plantas de Fabricación;BRASIL;CASTILLO FACUNDO EZEQUIEL;INSPECTOR;Comisión Nacional de Energía Atómica;ABACC;2024-10-28;2024-11-01
Seminario sobre Finanzas Sostenibles en los Mercados de Capitales Iberoamericanos;GUATEMALA;Salvatierra Sonia Fabiana;Vocal del Directorio;Ministerio de Economía;INSTITUTO IBEROAMERICANO DE MERCADO DE VALORES;2024-10-14;2024-10-19
"“Taller para el diseño de Proyectos Nacionales del ciclo 2026-2027 (""Workshop on the Design of 2026-2027 National Technical Cooperation Projects).";PANAMÁ;RINALDI CARLOS ALBERTO;INVESTIGADOR;Comisión Nacional de Energía Atómica;ORGANISMO INTERNACIONAL DE ENERGÍA ATÓMICA (OIEA);2024-10-27;2024-11-02
Workshop en Procedimientos de Inspección SNRI en Plantas de Fabricación;BRASIL;FERRETTO MAXIMILIANO ANDRES;INSPECTOR;Comisión Nacional de Energía Atómica;AGENCIA BRASILEÑO-ARGENTINA DE CONTABILIDAD Y CONTROL DE MATERIALES NUCLEARES;2024-10-28;2024-11-01
Conferencia Internacional sobre Reactores Pequeños y Modulares –SMR- y sus Aplicaciones (International Conference on Small Modular Reactors and their Applications;AUSTRIA;Giménez Marcelo Oscar;Jefe Departamento Seguridad Nuclear;Administración Pública Nacional;OIEA - Organismo Internacional de Energía Atómica;2024-10-18;2024-10-27
Taller de desafíos de licenciemiento en reactores modulares pequeños (SMR);BRASIL;Brusa Andrea;Analista en Seguridad Nuclear- Licenciamiento;Gerencia de Área Central Argentina de Elementos Modulares (CAREM);Organismo Internacional de Energía Atómica;2024-10-06;2024-10-12
TALLER EN INNOVACIÓN EN INFRAESTRUCTURA EDUCATIVA PARA EL APRENDIZAJE EN AMERICA LATINA Y EL CARIBE;COLOMBIA;THOMAS JOSE MANUEL;SECRETARIO GENERAL;SE#MCH;BANCO DESARROLLO AMERICA LATINA Y EL CARIBE;2024-11-04;2024-11-08
"Taller “Medición del Impacto de la Gestión de Riesgos de Cumplimiento""";PERÚ;NOVELLO JENNIFER;JEFE DE DEPARAMENTO;Administración Federal de Ingresos Públicos;FAD-FMI;2024-08-13;2024-08-18
INTERCAMBIO DE EXPERIENCIAS PARA APOYAR POLITICA FEDERAL DE MEJORA DE ALFABETIZACIÓN INICIAL;BRASIL;THOMAS JOSE MANUEL;SECRETARIO GENERAL;Secretaría de Educación;BANCO INTERAMERICANO DE DESARROLLO;2024-10-20;2024-10-24
"""Diálogo Político de Alto Nivel sobre Gobernanza de Datos"" y “Discusión entre autoridades regionales de protección de datos” Montevideo- Uruguay.";URUGUAY;PAULERO VIOLETA;DIRECTORA NACIONAL;Agencia de Acceso a la Información Pública;Fundación Internacional y para Iberoamérica de Administración y Políticas Públicas (FIIAPP);2024-09-29;2024-10-02
Escuela de Liderazgo en pro de la Seguridad Nuclear y Radiológica;MÉXICO;Geuna Antonela;Analista de Protección Radiológica;Gerencia de Área CAREM;Organismo Internacional de Energía Atómica;2024-09-28;2024-10-13
"l Taller ""Criterios para Estándares Técnicos de Infraestructuras Penitenciarias (CETIP";BRASIL;STECCO Guillermo Ruben;Auxiliar área técnico profesional;Dirección Nacional del Servicio Penitenciario Federal;Comité Internacional de la Cruz Roja (CICR);2024-10-15;2024-10-18
ii congreso internacional de etno y arqueomusicologia;MÉXICO;Bogarin Dora Elena;vicepresidenta;Directorio;universidad nacional 3 de febrero;2023-03-30;2023-03-10
